drugbank_id,drug_name,targets,n_targets,name_normalized,dili_label,is_dili
DB00159,Icosapent,"['PTGS2', 'PPARG', 'PPARD', 'FADS1', 'ACSL4', 'TRPV1', 'PPARA', 'ALOX5']",8,icosapent,,
DB00160,Alanine,"['ABAT', 'AGXT', 'GPT', 'NFS1', 'SLC36A1', 'SLC7A8', 'AGXT2', 'KYNU', 'AARS2', 'PHYKPL', 'GPT2']",11,alanine,,
DB00162,Vitamin A,"['APOD', 'PTGDS', 'RDH12', 'RDH5', 'ALDH1A2', 'ALDH1A1', 'LRAT', 'DHRS3', 'RETSAT', 'RDH11', 'DHRS4']",11,vitamina,,
DB00163,Vitamin E,"['NR1I2', 'ALOX5', 'PRKCA', 'PPP2CB', 'PPP2CA']",5,vitamine,,
DB00166,Lipoic acid,"['LIPT1', 'SLC5A6', 'LIAS']",3,lipoicacid,,
DB00167,Isoleucine,"['ACADSB', 'BCAT2', 'IARS2']",3,isoleucine,,
DB00170,Menadione,"['AOX1', 'GGCX', 'VKORC1', 'VKORC1L1', 'F2', 'F9', 'PROC', 'PROS1', 'BGLAP']",9,menadione,,
DB00171,ATP,"['ABL1', 'ABCC6', 'ABCC1', 'PIK3CA', 'CSNK2A1', 'CSNK2B', 'P2RY11', 'PPP5C', 'ABL2', 'ABCA1', 'ACSS2', 'NAE1', 'PRKAA1', 'ARAF', 'ACVRL1', 'ACSL1', 'NT5C2', 'ABCC9', 'AKT1', 'GRK2', 'APAF1', 'ACSS1', 'ACVR1B', 'ACVR1', 'ABCB11', 'ASNS', 'SLC25A4', 'ASS1', 'AFG3L2', 'TNK2', 'ADCY1', 'ABCB1', 'ABCG1', 'ABCC2']",34,atp,,
DB00172,Proline,"['PPIB', 'PPIA', 'PYCR1', 'PYCR2', 'P4HA2', 'PRODH', 'PPIH', 'P4HA1', 'PPIF', 'PPIG', 'P3H1', 'PARS2', 'P3H3', 'L3HYPDH']",14,proline,,
DB00173,Adenine,"['APRT', 'MTAP', 'ACACB', 'SRPK2']",4,adenine,,
DB00174,Asparagine,"['ASNS', 'ASRGL1', 'NARS2']",3,asparagine,,
DB00179,Masoprocol,"['ALOX5', 'ERBB2', 'TRPM7', 'SHBG']",4,masoprocol,,
DB00182,Amphetamine,"['MAOA', 'ADRA1A', 'MAOB']",3,amphetamine,,
DB00188,Bortezomib,"['PSMB5', 'PRSS1', 'PSMB1']",3,bortezomib,,
DB00197,Troglitazone,"['PPARG', 'ESRRA', 'PPARD', 'PPARA', 'GSTP1', 'ACSL4', 'SERPINE1']",7,troglitazone,Most-DILI,1.0
DB00200,Hydroxocobalamin,"['MTR', 'MMAA', 'MMACHC']",3,hydroxocobalamin,,
DB00201,Caffeine,"['NT5E', 'ADORA2A', 'PDE4B', 'PDE4A', 'PRKDC', 'PIK3CD', 'PIK3CA', 'PIK3CB', 'ITPR1', 'ATM']",10,caffeine,,
DB00210,Adapalene,"['RARB', 'RARG', 'RXRB', 'RXRA', 'JUN', 'TLR2', 'RARA', 'GOT1']",8,adapalene,,
DB00227,Lovastatin,"['HMGCR', 'ITGAL', 'HDAC2']",3,lovastatin,Most-DILI,1.0
DB00233,Aminosalicylic acid,"['DHFR', 'PTGS2', 'CHUK', 'ALOX5']",4,aminosalicylicacid,,
DB00242,Cladribine,"['RRM1', 'ADA', 'RRM2B', 'POLA1', 'POLE', 'POLE2', 'POLE3', 'POLE4', 'PNP', 'PARP1']",10,cladribine,,
DB00244,Mesalazine,"['PTGS2', 'ALOX5', 'PPARG', 'CHUK', 'IKBKB']",5,mesalazine,,
