drugbank_id,drug_name,targets,n_targets
DB00121,Biotin,"['PCCB', 'HLCS', 'MCCC2', 'ACACB', 'MCCC1', 'PC', 'PCCA', 'ACACA']",8
DB00122,Choline,"['ACHE', 'PCYT1A', 'PLD2', 'BCHE', 'PLD1']",5
DB00125,Arginine,"['ASL', 'ASS1', 'NOS3']",3
DB00126,Ascorbic acid,"['PLOD2', 'PHYH', 'PLOD3', 'BBOX1', 'DBH', 'PAM', 'P3H1', 'P3H3', 'P4HA1', 'ALKBH2', 'ALKBH3', 'KDM5D', 'PLOD1', 'EGLN1', 'EGLN2']",15
DB00127,Spermine,"['SMS', 'ODC1', 'ADRB2']",3
DB00128,Aspartic acid,"['SLC25A13', 'GOT1', 'ASPA', 'ASNS', 'ASS1', 'ACY1', 'GOT2', 'SLC25A12', 'ASPH', 'PAICS', 'DARS2', 'ASRGL1', 'RNASE1']",13
DB00129,Ornithine,"['OAT', 'OTC', 'ARG1', 'OAZ1', 'SLC25A15', 'GATM']",6
DB00130,L-Glutamine,"['CTPS1', 'PPAT', 'GLUL']",3
DB00131,Adenosine phosphate,"['PRKAA1', 'ADK', 'PRKAB1', 'ACSS2', 'PRKAA1', 'ADCY1', 'ACSL1', 'CREB1', 'PDE4B', 'PYGL', 'FBP1']",11
DB00132,alpha-Linolenic acid,"['PTGS2', 'FADS1', 'FADS2', 'TRPV1', 'PPARA', 'NR1H4', 'PPARD', 'PPARG', 'RXRA', 'ELOVL2']",10
DB00133,Serine,"['CBS', 'SDS', 'SRR', 'SPTLC2', 'SPTLC1', 'AGXT']",6
DB00134,Methionine,"['MTRR', 'MTR', 'METAP2', 'BHMT', 'BHMT2']",5
DB00141,N-Acetylglucosamine,"['B4GALT1', 'B4GALT4', 'NAGK', 'NAGLU', 'RENBP']",5
DB00142,Glutamic acid,"['OPLAH', 'PFAS', 'BCAT2', 'GLS', 'GOT2', 'ASNS', 'GLUL', 'GOT1', 'TAT', 'GPT', 'GGCX', 'GCLC', 'GLUD2', 'GMPS', 'ABAT', 'FPGS', 'ENPEP', 'EARS2', 'NADSYN1', 'NAGS', 'AADAT', 'GPT2', 'AASS', 'GLS2', 'PSAT1', 'GLUD1', 'GCLM', 'FOLH1', 'FTCD', 'ALDH18A1', 'GOT1']",31
DB00143,Glutathione,"['AKR1B1', 'MMP9', 'CYP3A4', 'GSR', 'GSS', 'GSTM1', 'GSTM3', 'GSTA4', 'GSTM4', 'GSTP1', 'GSTO1', 'GPX2', 'GSTZ1', 'GPX3', 'GLO1', 'MGST3', 'GSTA1', 'GSTA2', 'MGST1', 'ESD', 'GGT1', 'GSTM2', 'GLRX', 'GPX4', 'HAGH', 'GPX7', 'MGST2']",27
DB00144,Phosphatidyl serine,"['PISD', 'SCARB1', 'PRKCA', 'PTDSS1', 'PTDSS2', 'SMPD4', 'SMPD3']",7
DB00145,Glycine,"['ALAS1', 'BAAT', 'GSS', 'SHMT2', 'GLYATL1', 'AGXT2', 'PIPOX', 'AGXT', 'SHMT1', 'GNMT', 'GATM']",11
DB00148,Creatine,"['CKM', 'CKB', 'SLC6A8', 'GAMT']",4
DB00149,Leucine,"['LARS2', 'LCMT2', 'LCMT1', 'BCAT2']",4
DB00151,Cysteine,"['GCLM', 'GCLC', 'GOT1', 'GOT2', 'CTH', 'CBS', 'MGMT', 'GSS', 'CARS2', 'CSAD', 'NFS1', 'CDO1']",12
DB00155,Citrulline,"['NOS3', 'ASS1', 'OTC']",3
DB00157,NADH,"['MT-ND3', 'UGDH', 'ADH1A', 'SORD', 'ADH4', 'ADH1C', 'ADH1B', 'GPD1', 'ADH5', 'AKR1B1', 'HSD17B10', 'MDH2', 'LDHA', 'ME2', 'HSD17B4', 'EHHADH', 'HADH', 'ME3', 'BDH1', 'HIBADH', 'HSD17B3', 'HMGCR', 'ME1', 'PHGDH', 'HSD17B7', 'IDH3G', 'IDH3B', 'IDH3A', 'HSD17B2', 'RDH5', 'H6PD', 'HSD17B8', 'AKR1C4', 'IMPDH2', 'AKR1C3', 'AKR1C1', 'HSD11B1', 'IMPDH1', 'HADHA', 'ALDH2', 'HSD11B2', 'AKR1C2', 'NSDHL', 'ALDH6A1', 'ALDH1A1', 'ALDH9A1', 'ALDH1B1', 'ALDH3B1', 'GAPDH', 'ALDH1A2', 'ALDH3A2', 'ALDH5A1', 'ALDH7A1', 'BLVRB', 'PYCR2', 'PYCR1', 'GLUD1', 'PDHB', 'PDHA1', 'BLVRA', 'ACADS', 'DHFR', 'OGDH', 'GLUD2', 'DHCR7', 'MT-ND2', 'AASS', 'NDUFS7', 'MTHFD1', 'MTHFD2', 'ALDH4A1', 'CYB5R3', 'NDUFA11', 'MT-ND4', 'QDPR', 'MT-ND1', 'NNT', 'NDUFA5', 'NDUFA9', 'MT-ND4L', 'NDUFA10', 'NDUFA7', 'NDUFA1', 'MT-ND6', 'MT-ND5', 'NDUFA4', 'NDUFA6', 'NDUFAB1', 'NDUFA2', 'NDUFA8', 'NDUFA3', 'NDUFB8', 'NDUFC2', 'NDUFB1', 'NDUFS1', 'NDUFB10', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB7', 'NDUFB9', 'NDUFS2', 'NDUFB5', 'NDUFC1', 'NDUFB6', 'NDUFV3', 'DLD', 'NDUFS3', 'GSR', 'NDUFA12', 'NDUFS5', 'NDUFS4', 'NDUFV1', 'NDUFV2', 'NDUFA13', 'CDO1', 'NDUFS6', 'NDUFA4L2', 'NDUFS8', 'CYP4A11', 'DLAT', 'AMT', 'MSMO1', 'HMOX1', 'HMOX2', 'CYP17A1']",126
DB00159,Icosapent,"['PTGS2', 'PPARG', 'PPARD', 'FADS1', 'ACSL4', 'TRPV1', 'PPARA', 'ALOX5']",8
DB00160,Alanine,"['ABAT', 'AGXT', 'GPT', 'NFS1', 'SLC36A1', 'SLC7A8', 'AGXT2', 'KYNU', 'AARS2', 'PHYKPL', 'GPT2']",11
DB00162,Vitamin A,"['APOD', 'PTGDS', 'RDH12', 'RDH5', 'ALDH1A2', 'ALDH1A1', 'LRAT', 'DHRS3', 'RETSAT', 'RDH11', 'DHRS4']",11
DB00163,Vitamin E,"['NR1I2', 'ALOX5', 'PRKCA', 'PPP2CB', 'PPP2CA']",5
DB00166,Lipoic acid,"['LIPT1', 'SLC5A6', 'LIAS']",3
DB00167,Isoleucine,"['ACADSB', 'BCAT2', 'IARS2']",3
DB00170,Menadione,"['AOX1', 'GGCX', 'VKORC1', 'VKORC1L1', 'F2', 'F9', 'PROC', 'PROS1', 'BGLAP']",9
DB00171,ATP,"['ABL1', 'ABCC6', 'ABCC1', 'PIK3CA', 'CSNK2A1', 'CSNK2B', 'P2RY11', 'PPP5C', 'ABL2', 'ABCA1', 'ACSS2', 'NAE1', 'PRKAA1', 'ARAF', 'ACVRL1', 'ACSL1', 'NT5C2', 'ABCC9', 'AKT1', 'GRK2', 'APAF1', 'ACSS1', 'ACVR1B', 'ACVR1', 'ABCB11', 'ASNS', 'SLC25A4', 'ASS1', 'AFG3L2', 'TNK2', 'ADCY1', 'ABCB1', 'ABCG1', 'ABCC2']",34
DB00172,Proline,"['PPIB', 'PPIA', 'PYCR1', 'PYCR2', 'P4HA2', 'PRODH', 'PPIH', 'P4HA1', 'PPIF', 'PPIG', 'P3H1', 'PARS2', 'P3H3', 'L3HYPDH']",14
DB00173,Adenine,"['APRT', 'MTAP', 'ACACB', 'SRPK2']",4
DB00174,Asparagine,"['ASNS', 'ASRGL1', 'NARS2']",3
DB00179,Masoprocol,"['ALOX5', 'ERBB2', 'TRPM7', 'SHBG']",4
DB00182,Amphetamine,"['MAOA', 'ADRA1A', 'MAOB']",3
DB00188,Bortezomib,"['PSMB5', 'PRSS1', 'PSMB1']",3
DB00197,Troglitazone,"['PPARG', 'ESRRA', 'PPARD', 'PPARA', 'GSTP1', 'ACSL4', 'SERPINE1']",7
DB00200,Hydroxocobalamin,"['MTR', 'MMAA', 'MMACHC']",3
DB00201,Caffeine,"['NT5E', 'ADORA2A', 'PDE4B', 'PDE4A', 'PRKDC', 'PIK3CD', 'PIK3CA', 'PIK3CB', 'ITPR1', 'ATM']",10
DB00210,Adapalene,"['RARB', 'RARG', 'RXRB', 'RXRA', 'JUN', 'TLR2', 'RARA', 'GOT1']",8
DB00227,Lovastatin,"['HMGCR', 'ITGAL', 'HDAC2']",3
DB00233,Aminosalicylic acid,"['DHFR', 'PTGS2', 'CHUK', 'ALOX5']",4
DB00242,Cladribine,"['RRM1', 'ADA', 'RRM2B', 'POLA1', 'POLE', 'POLE2', 'POLE3', 'POLE4', 'PNP', 'PARP1']",10
DB00244,Mesalazine,"['PTGS2', 'ALOX5', 'PPARG', 'CHUK', 'IKBKB']",5
DB00246,Ziprasidone,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3
DB00248,Cabergoline,"['ADRA2B', 'ADRA1A', 'ADRA1B', 'ADRB2']",4
DB00252,Phenytoin,"['SCN8A', 'NR1I2', 'SCN1B']",3
DB00255,Diethylstilbestrol,"['ESR1', 'ESRRA', 'NCOA2', 'NR1I2', 'AR', 'SHBG']",6
DB00276,Amsacrine,"['TOP2B', 'ORM1', 'ALB']",3
DB00277,Theophylline,"['NT5E', 'ADORA2A', 'PDE4B', 'PDE4A', 'HDAC2', 'HM13', 'NOMO1', 'PARP1']",8
DB00279,Liothyronine,"['THRA', 'THRB', 'PCNA']",3
DB00281,Lidocaine,"['SCN9A', 'EGFR', 'ORM1', 'ORM2']",4
DB00282,Pamidronic acid,"['FDPS', 'GGPS1', 'CASP3', 'CASP9']",4
DB00288,Amcinonide,"['ESRRA', 'NR3C1', 'ANXA1']",3
DB00313,Valproic acid,"['ABAT', 'GSK3A', 'ACADSB', 'OGDH', 'ALDH5A1', 'HDAC2', 'PPARA', 'PPARD', 'PPARG', 'HDAC1', 'CDKN1A', 'HGF', 'ODC1']",13
DB00316,Acetaminophen,"['PTGS2', 'PTGES3', 'TRPV1']",3
DB00321,Amitriptyline,"['ADRA1A', 'SIGMAR1', 'ADRA1B']",3
DB00328,Indomethacin,"['PTGS2', 'PLA2G2A', 'PPARG', 'GLO1', 'PPARA', 'AKR1C3', 'EIF2AK2']",7
DB00331,Metformin,"['ACACB', 'ETFDH', 'PRKAB1', 'GPD1']",4
DB00337,Pimecrolimus,"['PPP3CA', 'MTOR', 'FKBP1A']",3
DB00346,Alfuzosin,"['ADRA1A', 'ADRA1A', 'ADRA1B']",3
DB00363,Clozapine,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'GSTP1', 'GABBR1']",5
DB00367,Levonorgestrel,"['SRD5A1', 'ESR1', 'AR', 'SHBG', 'NR3C1']",5
DB00368,Norepinephrine,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2', 'PAH']",5
DB00382,Tacrine,"['BCHE', 'ACHE', 'CES1']",3
DB00390,Digoxin,"['ATP1B1', 'ATP1B2', 'ATP1B3', 'ATP1A1']",4
DB00396,Progesterone,"['NR3C2', 'ESR1', 'CYP17A1', 'ORM1', 'NR3C1', 'AR', 'SHBG']",7
DB00398,Sorafenib,"['BRAF', 'EGFR', 'RAF1', 'FLT4', 'KDR', 'FLT1', 'PDGFRB', 'FGFR1']",8
DB00408,Loxapine,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3
DB00412,Rosiglitazone,"['PPARG', 'ACSL4', 'PPARA', 'PPARD', 'RXRA', 'RXRB']",6
DB00421,Spironolactone,"['NR3C2', 'NR3C1', 'AR', 'ESR1', 'NR1I2']",5
DB00441,Gemcitabine,"['RRM1', 'TYMS', 'CMPK1']",3
DB00449,Dipivefrin,"['ADRA1A', 'ADRB2', 'BCHE', 'ACHE']",4
DB00451,Levothyroxine,"['ITGAV', 'THRA', 'THRB']",3
DB00457,Prazosin,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRA1A']",4
DB00458,Imipramine,"['ADRA1A', 'KCND3', 'ADRA1B', 'ORM2']",4
DB00459,Acitretin,"['RXRA', 'STAT3', 'RARA', 'RARB', 'RARG', 'RXRB', 'RBP1']",7
DB00477,Chlorpromazine,"['ADRA1A', 'ADRA1B', 'ADRA1A', 'SMPD1', 'ORM1', 'CALM1']",6
DB00480,Lenalidomide,"['CRBN', 'CDH5', 'PTGS2']",3
DB00482,Celecoxib,"['PTGS2', 'STAT3', 'NEU1', 'CA2', 'PDPK1']",5
DB00491,Miglitol,"['GAA', 'GANAB', 'GANC']",3
DB00499,Flutamide,"['AR', 'AHR', 'NR1I2']",3
DB00502,Haloperidol,"['SIGMAR1', 'ADRA1A', 'ADRA2B']",3
DB00513,Aminocaproic acid,"['PLG', 'PLAT', 'LPA']",3
DB00514,Dextromethorphan,"['SIGMAR1', 'PGRMC1', 'CHRNA4', 'CYBB']",4
DB00515,Cisplatin,"['A2M', 'TF', 'ATOX1']",3
DB00523,Alitretinoin,"['RARA', 'RXRA', 'RARB', 'RXRB', 'RARG', 'IGFBP3']",6
DB00536,Guanidine,"['ALDH2', 'RNASE1', 'DLG4', 'GAMT']",4
DB00540,Nortriptyline,"['ADRA1A', 'ADRA1B', 'PGRMC1']",3
DB00545,Pyridostigmine,"['F10', 'BCHE', 'ACHE']",3
DB00548,Azelaic acid,"['SRD5A3', 'SRD5A1', 'AKR1D1', 'SRD5A2']",4
DB00563,Methotrexate,"['TYMS', 'SLC19A1', 'ATIC', 'DHFR']",4
DB00570,Vinblastine,"['TUBB2A', 'TUBA1A', 'TUBB', 'TUBG1', 'JUN']",5
DB00573,Fenoprofen,"['PTGS2', 'PPARA', 'PPARG']",3
DB00575,Clonidine,"['AOC3', 'ADRA2B', 'ADRA1A', 'ADRA1B']",4
DB00583,Levocarnitine,"['CPT1B', 'XDH', 'CES1', 'CPT1A', 'CRAT', 'SLC25A29', 'SLC25A20', 'CPT2']",8
DB00591,Fluocinolone acetonide,"['NR3C1', 'ANXA1', 'ANXA2', 'ANXA5']",4
DB00594,Amiloride,"['SCNN1A', 'AOC1', 'SLC9A1', 'PLAU']",4
DB00605,Sulindac,"['PTGS2', 'AKR1B1', 'MAPK3', 'PPARD', 'AKR1B10']",5
DB00608,Chloroquine,"['GSTA2', 'HMGB1', 'GSTM1']",3
DB00619,Imatinib,"['BCR', 'MCL1', 'PDGFRA', 'ABL1', 'PDGFRB', 'CSF1R']",6
DB00622,Nicardipine,"['ADRA1A', 'ADRA1B', 'CACNA1H', 'CALM1']",4
DB00624,Testosterone,"['AR', 'ESR1', 'NR3C2']",3
DB00627,Niacin,"['DGAT2', 'QPRT', 'NNMT']",3
DB00630,Alendronic acid,"['FDPS', 'PTPRS', 'ATP6V1A']",3
DB00631,Clofarabine,"['RRM2B', 'POLA1', 'RRM1']",3
DB00641,Simvastatin,"['HMGCR', 'ITGAL', 'HDAC2']",3
DB00642,Pemetrexed,"['TYMS', 'ATIC', 'DHFR', 'GART']",4
DB00648,Mitotane,"['ESR1', 'AR', 'FDX1']",3
DB00651,Dyphylline,"['PDE4B', 'NT5E', 'PDE4A', 'ADORA2A']",4
DB00655,Estrone,"['ESR1', 'AR', 'SHBG']",3
DB00661,Verapamil,"['CACNA1H', 'ADRA1A', 'ADRA1B', 'ABCB1']",4
DB00668,Epinephrine,"['ADRA1A', 'ADRA1B', 'ADRB2', 'ADRA2B']",4
DB00675,Tamoxifen,"['ESR1', 'PRKCA', 'SHBG', 'EBP', 'AR', 'NR1I2', 'MAPK8']",7
DB00677,Isoflurophate,"['ACHE', 'BCHE', 'TF']",3
DB00687,Fludrocortisone,"['AR', 'NR3C2', 'NR3C1']",3
DB00688,Mycophenolate mofetil,"['IMPDH1', 'IMPDH2', 'PTS']",3
DB00720,Clodronic acid,"['SLC25A4', 'SLC25A5', 'SLC25A6']",3
DB00721,Procaine,"['KCNMA1', 'ASPG', 'MAOA', 'DNMT1', 'DNMT3A']",5
DB00726,Trimipramine,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3
DB00734,Risperidone,"['ADRA1B', 'ADRA2B', 'ADRA1A']",3
DB00755,Tretinoin,"['RARA', 'RARB', 'RARG', 'RXRB', 'RXRA', 'ALDH1A1', 'ALDH1A2', 'RBP4', 'PDK4']",9
DB00756,Hexachlorophene,"['DLD', 'SDHD', 'GLUD1', 'ESR1']",4
DB00774,Hydroflumethiazide,"['ATP1A1', 'KCNMA1', 'CA2']",3
DB00780,Phenelzine,"['MAOA', 'MAOB', 'AOC3', 'ABAT', 'GPT', 'GPT2']",6
DB00783,Estradiol,"['ESR1', 'NR1I2', 'CHRNA4', 'GPER1', 'MT-ATP6', 'BECN1']",6
DB00786,Marimastat,"['MMP2', 'MMP9', 'MMP14', 'MMP15', 'MMP25']",5
DB00795,Sulfasalazine,"['ABCG2', 'RELB', 'RELA', 'REL', 'ALOX5', 'PTGS2', 'ACAT1', 'IKBKB', 'NFKB1', 'NFKB2', 'CHUK', 'PPARG']",12
DB00799,Tazarotene,"['RARA', 'RXRB', 'RARG', 'RARB']",4
DB00800,Fenoldopam,"['ADRA1B', 'ADRA1A', 'ADRA2B']",3
DB00822,Disulfiram,"['DBH', 'ALDH3A2', 'ALDH2']",3
DB00824,Enprofylline,"['PDE4B', 'NT5E', 'PDE4A', 'ADORA2A']",4
DB00831,Trifluoperazine,"['CALM1', 'CALM3', 'CALM2', 'ADRA1A', 'TNNC1', 'S100A4', 'CALM1']",7
DB00841,Dobutamine,"['ADRA1A', 'ADRB2', 'ESR1']",3
DB00843,Donepezil,"['ACHE', 'BCHE', 'NFKB2']",3
DB00852,Pseudoephedrine,"['ADRA1A', 'ADRB2', 'NFKB1', 'ATF1']",4
DB00867,Ritodrine,"['ADRB2', 'KCNMA1', 'MYLK']",3
DB00893,Iron Dextran,"['HBB', 'HBA1', 'FTH1', 'FTL']",4
DB00898,Ethanol,"['CHRNA4', 'VCAM1', 'GABRE', 'ACHE']",4
DB00909,Zonisamide,"['SCN9A', 'SCN1B', 'CACNA1H', 'CA2', 'MAOB', 'MAOA']",6
DB00914,Phenformin,"['PRKAA1', 'PRKAG1', 'PRKAB1', 'KCNJ8']",4
DB00925,Phenoxybenzamine,"['ADRA1A', 'ADRA2B', 'ADRB2', 'ADRA1B', 'CALM1']",5
DB00926,Etretinate,"['RARA', 'RXRA', 'RARB', 'RXRB', 'RARG']",5
DB00935,Oxymetazoline,"['ADRA1A', 'ADRA2B', 'ADRA1B']",3
DB00936,Salicylic acid,"['CA2', 'PTGS2', 'AKR1C1']",3
DB00945,Acetylsalicylic acid,"['HMGCR', 'PTGS2', 'AKR1C1', 'PRKAA1', 'EDNRA', 'TP53', 'HSPA5', 'RPS6KA3', 'NFKBIA', 'CASP1', 'CASP3', 'IKBKB', 'MAPK1', 'CCND1', 'MYC', 'PCNA', 'NEU1']",17
DB00951,Isoniazid,"['CYP2C8', 'CYP1A2', 'CYP3A4', 'CYP2C19']",4
DB00973,Ezetimibe,"['NPC1L1', 'SOAT1', 'ANPEP']",3
DB00975,Dipyridamole,"['PDE4A', 'ADA', 'RCAN1', 'ORM1']",4
DB00995,Auranofin,"['ESRRA', 'PRDX5', 'IKBKB']",3
DB00997,Doxorubicin,"['TOP1', 'TOP2B', 'NOLC1']",3
DB01013,Clobetasol propionate,"['NR3C1', 'ANXA1', 'NR3C2']",3
DB01014,Balsalazide,"['PPARG', 'PTGS2', 'ALOX5']",3
DB01016,Glyburide,"['ABCC9', 'ABCB11', 'ABCA1', 'CPT1A', 'TRPM4']",5
DB01017,Minocycline,"['ALOX5', 'MMP9', 'CASP1', 'CASP3', 'CYCS', 'MAPK1']",6
DB01023,Felodipine,"['CACNA1H', 'NR3C2', 'TNNC1', 'CALM1']",4
DB01025,Amlexanox,"['HSP90AA1', 'S100A12', 'S100A13']",3
DB01026,Ketoconazole,"['CYP17A1', 'AR', 'CYP21A2', 'NR1I2', 'NR1I3']",5
DB01033,Mercaptopurine,"['HPRT1', 'IMPDH1', 'PPAT', 'IMPDH1']",4
DB01039,Fenofibrate,"['PPARA', 'NR1I2', 'MMP25']",3
DB01047,Fluocinonide,"['ESRRA', 'NR3C1', 'SMO']",3
DB01050,Ibuprofen,"['PTGS2', 'CXCL8', 'CXCR1', 'THBD', 'PPARG', 'PPARA']",6
DB01065,Melatonin,"['ESR1', 'CALR', 'CALM1']",3
DB01073,Fludarabine,"['ADA', 'DCK', 'POLA1', 'RRM1']",4
DB01074,Perhexiline,"['CPT1A', 'CPT1B', 'CPT2']",3
DB01076,Atorvastatin,"['HMGCR', 'DPP4', 'AHR', 'HDAC2', 'NR1I3']",5
DB01077,Etidronic acid,"['PTPRS', 'ATP6V1A', 'SLC25A4', 'SLC25A5', 'SLC25A6']",5
DB01083,Orlistat,"['PNLIP', 'LIPF', 'FASN']",3
DB01088,Iloprost,"['PTGIR', 'PDE4A', 'PDE4B', 'PLAT']",4
DB01094,Hesperetin,"['DGAT1', 'MTTP', 'SOAT1', 'SHBG', 'SOAT2']",5
DB01097,Leflunomide,"['DHODH', 'AHR', 'PTK2B']",3
DB01109,Heparin,"['SERPINC1', 'F10', 'FGFR4', 'FGFR1', 'FGFR2', 'HGF']",6
DB01110,Miconazole,"['NOS3', 'NR1I2', 'KCNMA1']",3
DB01115,Nifedipine,"['NR1I2', 'KCND3', 'CALM1']",3
DB01118,Amiodarone,"['THRA', 'PPARG', 'PPARA']",3
DB01126,Dutasteride,"['SRD5A1', 'SRD5A3', 'SRD5A2']",3
DB01133,Tiludronic acid,"['PTPN12', 'PTPN6', 'ATP6V0A1']",3
DB01136,Carvedilol,"['ADRA1A', 'ADRA1A', 'NDUFC2', 'ADRB2', 'GJA1', 'VCAM1', 'ADRA1B', 'ADRA2B', 'SELE', 'HIF1A', 'KCNJ4']",11
DB01138,Sulfinpyrazone,"['ABCC1', 'ABCC2', 'NR1I2']",3
DB01151,Desipramine,"['ADRB2', 'SMPD1', 'ADRA1A']",3
DB01159,Halothane,"['ATP2B1', 'KCNMA1', 'MT-ND1', 'GNG2']",4
DB01162,Terazosin,"['ADRA1A', 'ADRA1B', 'TGFB1']",3
DB01169,Arsenic trioxide,"['IKBKB', 'TXNRD1', 'JUN', 'CCND1', 'MAPK3', 'MAPK1', 'AKT1', 'CDKN1A', 'HDAC1', 'PML']",10
DB01171,Moclobemide,"['MAOA', 'MAOA', 'MAOB']",3
DB01179,Podofilox,"['TOP2B', 'TUBA4A', 'TUBB']",3
DB01183,Naloxone,"['CREB1', 'ESR1', 'TLR4', 'CES1']",4
DB01185,Fluoxymesterone,"['AR', 'ESR1', 'NR3C1', 'HSD11B2']",4
DB01197,Captopril,"['MMP2', 'MMP9', 'LTA4H']",3
DB01200,Bromocriptine,"['ADRA2B', 'ADRA1A', 'ADRA1B']",3
DB01213,Fomepizole,"['ADH1A', 'ADH1B', 'ADH1C', 'CAT']",4
DB01216,Finasteride,"['SRD5A2', 'SRD5A3', 'SRD5A1', 'AKR1D1']",4
DB01218,Halofantrine,"['CALM1', 'CALM3', 'CALM2']",3
DB01225,Enoxaparin,"['SERPINC1', 'F10', 'F2']",3
DB01234,Dexamethasone,"['NR3C1', 'ANXA1', 'NR1I2']",3
DB01238,Aripiprazole,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2']",4
DB01241,Gemfibrozil,"['PPARA', 'SLCO1B1', 'SLCO1B3']",3
DB01244,Bepridil,"['CACNA1H', 'ATP1A1', 'TNNC1', 'CALM1']",4
DB01254,Dasatinib,"['ABL1', 'SRC', 'EPHA2', 'LCK', 'YES1', 'PDGFRB', 'FYN', 'BCR', 'STAT5B', 'ABL2', 'CSK', 'EPHB4', 'FGR', 'FRK', 'HSPA8', 'LYN', 'MAP3K20', 'MAPK14', 'PPAT']",19
DB01259,Lapatinib,"['EGFR', 'EEF2K', 'ERBB2']",3
DB01262,Decitabine,"['DNMT1', 'DNMT3A', 'HDAC1']",3
DB01267,Paliperidone,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3
