drugbank_id,drug_name,drug_type,gene_symbol,actions,in_liver_lcc
DB12010,Fostamatinib,small molecule,PTK6,inhibitor,True
DB12010,Fostamatinib,small molecule,RAF1,inhibitor,True
DB12010,Fostamatinib,small molecule,RIOK1,inhibitor,True
DB12010,Fostamatinib,small molecule,RIOK2,inhibitor,True
DB12010,Fostamatinib,small molecule,RIOK3,inhibitor,True
DB12010,Fostamatinib,small molecule,RIPK1,inhibitor,True
DB12010,Fostamatinib,small molecule,RIPK2,inhibitor,True
DB12010,Fostamatinib,small molecule,RIPK4,inhibitor,True
DB12010,Fostamatinib,small molecule,ROCK2,inhibitor,True
DB12010,Fostamatinib,small molecule,RPS6KA1,inhibitor,True
DB12010,Fostamatinib,small molecule,RPS6KA3,inhibitor,True
DB12010,Fostamatinib,small molecule,SGK3,inhibitor,True
DB12010,Fostamatinib,small molecule,SIK2,inhibitor,True
DB12010,Fostamatinib,small molecule,SLK,inhibitor,True
DB12010,Fostamatinib,small molecule,SRC,inhibitor,True
DB12015,Alpelisib,small molecule,PIK3CA,inhibitor,True
DB12016,Ponesimod,small molecule,S1PR1,agonist;modulator;regulator,True
DB12017,Ozagrel,small molecule,MAPK14,inhibitor,True
DB12018,Ulocuplumab,biotech,CXCR4,inhibitor,True
DB12021,Dinaciclib,small molecule,CDK9,inhibitor,True
DB12021,Dinaciclib,small molecule,CDK2,inhibitor,True
DB12023,Benralizumab,biotech,FCGR3A,binding,True
DB12025,Triptolide,small molecule,RELB,inhibitor,True
DB12025,Triptolide,small molecule,NFKB1,inhibitor,True
DB12025,Triptolide,small molecule,NFKB2,inhibitor,True
DB12025,Triptolide,small molecule,RELA,inhibitor,True
DB12025,Triptolide,small molecule,REL,inhibitor,True
DB12027,Serdemetan,small molecule,MDM2,modulator,True
DB12034,Gantenerumab,biotech,APP,antagonist;binder;antibody,True
DB12036,Naquotinib,small molecule,EGFR,inhibitor,True
DB12041,Mapracorat,small molecule,NR3C1,agonist,True
DB12046,Atopaxar,small molecule,F2R,antagonist,True
DB12048,Savolitinib,small molecule,MET,inhibitor,True
DB12050,LY-3039478,small molecule,NOTCH4,inhibitor,True
DB12050,LY-3039478,small molecule,NOTCH1,inhibitor,True
DB12054,BQ-123,small molecule,EDNRA,antagonist,True
DB12058,Recoflavone,small molecule,NFKB1,modulator,True
DB12058,Recoflavone,small molecule,RELB,modulator,True
DB12058,Recoflavone,small molecule,NFKB2,modulator,True
DB12058,Recoflavone,small molecule,RELA,modulator,True
DB12058,Recoflavone,small molecule,REL,modulator,True
DB12062,Volasertib,small molecule,PLK1,inhibitor,True
DB12064,BMS-777607,small molecule,MET,inhibitor,True
DB12072,Orantinib,small molecule,KDR,inhibitor,True
DB12072,Orantinib,small molecule,AURKA,inhibitor,True
DB12072,Orantinib,small molecule,FGFR1,inhibitor,True
DB12072,Orantinib,small molecule,PPARG,agonist,True
DB12085,LCL-161,small molecule,XIAP,modulator,True
DB12085,LCL-161,small molecule,BIRC2,modulator,True
DB12085,LCL-161,small molecule,BIRC3,modulator,True
DB12088,TT-232,small molecule,PKM,modulator,True
DB12092,Naftopidil,small molecule,ADRA1A,inhibitor,True
