dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech,is_dili,tmc_prob,Mechanism_Declaration
Arginine hydrochloride,-0.31354715319876,0,-0.249628804546565,0,-0.2988071523335984,0,Unexplained,-0.249628804546565,0,0.4986122743315251,Unexplained / Idiosyncratic
Aripiprazole,-0.644278153923165,0,-0.5129384327637505,0,-0.6139903313441727,0,Unexplained,-0.5129384327637505,1,0.5852583802409258,Unexplained / Idiosyncratic
Aripiprazole lauroxil,-0.5225785886646,0,-0.4160480075776084,0,-0.4980119205559973,0,Unexplained,-0.4160480075776084,1,0.6263312232593551,Unexplained / Idiosyncratic
Aspirin,-0.4555734516094202,0,-0.3627022441384479,0,-0.4341567268764397,0,Unexplained,-0.3627022441384479,1,0.7812237264556825,Unexplained / Idiosyncratic
Atazanavir sulfate,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.3474258229777288,Unexplained / Idiosyncratic
Atenolol,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.4442608447993941,Unexplained / Idiosyncratic
Atomoxetine hydrochloride,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.4381244033252253,Unexplained / Idiosyncratic
Atropine,-0.2956150909981073,0,-0.2353522939658232,0,-0.2817180849095055,0,Unexplained,-0.2353522939658232,0,0.3161309015007133,Unexplained / Idiosyncratic
Auranofin,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.5350905169798622,Unexplained / Idiosyncratic
Avanafil,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.5215147986253724,Unexplained / Idiosyncratic
Avatrombopag maleate,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.460869116604697,Unexplained / Idiosyncratic
Azathioprine,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.5780756955559667,Unexplained / Idiosyncratic
