uniprot_id,gene_symbol
P28702,RXRB
P29034,S100A2
P29074,PTPN4
P29274,ADORA2A
P29275,ADORA2B
P29317,EPHA2
P29372,MPG
P29460,IL12B
P29466,CASP1
P29474,NOS3
P29475,NOS1
P29762,CRABP1
P29972,AQP1
P30043,BLVRB
P30044,PRDX5
P30085,CMPK1
P30197,epiD
P30405,PPIF
P30518,ADRB3
P30530,AXL
P30536,TSPO
P30542,ADORA1
P30543,SLC6A2
P30556,AGTR1
P30559,OXTR
P30825,SLC7A1
P30872,SSTR1
P30874,SSTR2
P30926,CHRNB4
P30939,HTR1F
P30968,GNRHR
P30988,CALCR
P31025,LCN1
P31151,S100A7
P31213,SRD5A2
P31224,acrB
P31260,HOXA10
P31327,CPS1
P31350,RRM2
P31639,SLC5A2
P31644,GABRA5
P31645,SLC6A4
P31749,AKT1
P31939,ATIC
P32238,CCKAR
P32239,CCKBR
P32245,MC4R
P32297,CHRNA3
P32418,SLC8A1
P32745,SSTR3
P33151,CDH5
P33261,CYP2C19
P33402,GUCY1A2
P33517,ctaD
P33527,ABCC1
P33815,OPG057
P34903,GABRA3
P34969,HTR7
P34972,CNR2
P34981,TRHR
P34995,PTGER1
P34998,CRHR1
P35218,CA5A
P35219,CA8
P35222,CTNNB1
P35228,NOS2
P35346,SSTR5
P35348,ADRA1A
P35354,PTGS2
P35367,HRH1
P35368,ADRA1B
P35372,OPRM1
P35462,DRD3
P35498,SCN1A
P35499,SCN4A
P35610,SOAT1
P35869,AHR
P35916,FLT4
P35968,PDE6D
P36544,CHRNA7
P36888,FLT3
P37059,ESRRA
P37088,SCNN1A
P37231,PPARG
P37288,AVPR1A
P38435,GGCX
P38489,nfsB
P38606,ATP6V1A
P38936,CDKN1A
P39086,GRIK1
P40238,MPL
P40261,NNMT
P40306,PSMB10
P40763,STAT3
P40933,IL15
P40989,GSC2
P41143,OPRD1
P41145,OPRK1
P41180,CASR
P41240,CSK
P41407,azoR
P41439,FOLR3
P41440,SLC19A1
