drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size,smiles,targets,target_list,logp,mw,hbd,hba,tpsa,rotatable,k,n_dili_hits,n_cyp_hits,n_tf_hits,n_transporter_hits,n_network_hits,network_fraction,dili_fraction,has_network_targets,has_transporter_targets,high_logp,ecnp_z,ecnp_eligible,y_pred_full
DB01267,Paliperidone,Paliperidone,3,vLess-DILI-concern,1,-0.002670790108699,0.0401407873989792,0.0405175684636718,244,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,"['ADRA1A', 'ADRA1B', 'ADRA2B']","['ADRA1A', 'ADRA1B', 'ADRA2B']",3.0813200000000016,426.4920000000002,1.0,7.0,84.39,4.0,3,0,0,0,0,0,0.0,0.0,0,0,1,-0.002670790108699,0,0.9944495
DB01275,Hydralazine,Hydralazine hydrochloride,3,vLess-DILI-concern,1,-0.3042304366596409,0.0614813246071698,0.0791922754095371,453,C1=CC=C2C(=C1)C=NN=C2NN.Cl,"['AOC3', 'HIF1A', 'P4HA1']","['AOC3', 'HIF1A', 'P4HA1']",1.3371999999999995,196.64100000000002,2.0,4.0,63.83,1.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.3042304366596409,0,0.96459955
DB01278,Pramlintide,Pramlintide acetate,3,vNo-DILI-concern,0,-0.0041688027616082,0.0214068632609637,0.0219566947593822,384,CCC(C)C(C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)N2CCCC2C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)C)C(=O)NCC(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)N)NC(=O)C4CCCN4C(=O)CNC(=O)C(CC5=CC=CC=C5)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CC6=CNC=N6)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(=O)N)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C8CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N8)C(C)O)C)C(C)O)CC(=O)N)NC(=O)C(CCCCN)N.CC(=O)O,"['RAMP1', 'RAMP2', 'RAMP3']","['RAMP1', 'RAMP2', 'RAMP3']",-23.73423000000041,4009.5069999999855,57.0,60.0,1727.9399999999987,109.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.0041688027616082,0,0.19016346
DB01280,Nelarabine,Nelarabine,4,vLess-DILI-concern,1,0.0265103991249973,0.0550720835908156,0.0521666177589556,484,COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N,"['POLA1', 'LIG1', 'PRIM1', 'RRM1']","['POLA1', 'LIG1', 'PRIM1', 'RRM1']",-1.9713999999999987,297.2710000000001,4.0,10.0,148.77,3.0,4,0,0,0,0,0,0.0,0.0,0,0,0,0.0265103991249973,0,0.1646323
DB01373,Calcium,Calcium acetate,12,vNo-DILI-concern,0,0.5991449064974206,0.3243788194926008,0.2772183694068044,1808,CC(=O)[O-].CC(=O)[O-].[Ca+2],"['TNNC1', 'SPTBN1', 'CAST', 'AOC1', 'S100A13', 'S100A8', 'S100A9', 'CP', 'BMP4', 'MGP', 'PDCD6', 'CALM1']","['TNNC1', 'SPTBN1', 'CAST', 'AOC1', 'S100A13', 'S100A8', 'S100A9', 'CP', 'BMP4', 'MGP', 'PDCD6', 'CALM1']",-2.8683999999999985,158.166,0.0,4.0,80.25999999999999,0.0,12,0,0,0,0,0,0.0,0.0,0,0,0,0.5991449064974206,0,0.6349635
DB01380,Cortisone acetate,Cortisone acetate,3,vNo-DILI-concern,0,-0.3949442494698393,0.0774937477280359,0.1105712515228478,531,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,"['NR3C1', 'ESRRA', 'ANXA1']","['NR3C1', 'ESRRA', 'ANXA1']",2.5606000000000004,402.48700000000025,1.0,6.0,97.74000000000001,3.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.3949442494698393,0,0.90440875
DB01396,Digitoxin,Digoxin,4,vNo-DILI-concern,0,0.0019981265450498,0.0288441453267431,0.0285623850995487,264,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,"['ATP1B2', 'ATP1B3', 'ATP1A1', 'ATP1B1']","['ATP1B2', 'ATP1B3', 'ATP1A1', 'ATP1B1']",2.2181000000000024,780.9490000000003,6.0,14.0,203.06,7.0,4,0,0,0,0,0,0.0,0.0,0,0,0,0.0019981265450498,0,0.09680873
DB01406,Danazol,Danazol,3,vMost-DILI-concern,1,1.1785952866975673,0.2621738211874455,0.1623773847058854,296,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,"['ESR1', 'AR', 'CCL2']","['ESR1', 'AR', 'CCL2']",4.221000000000004,337.4630000000001,1.0,3.0,46.260000000000005,0.0,3,1,0,0,0,1,0.3333333333333333,0.3333333333333333,1,0,1,1.1785952866975673,1,0.9933195
DB01429,Aprindine,Arginine hydrochloride,4,vNo-DILI-concern,0,-0.0068609643419131,0.0339771643328508,0.0349384985276353,152,C(CC(C(=O)O)N)CN=C(N)N.Cl,"['CALM2', 'CALM1', 'CALM3', 'CALM1']","['CALM2', 'CALM1', 'CALM3', 'CALM1']",-1.1262999999999996,210.665,4.0,3.0,127.71999999999998,5.0,4,0,0,0,0,0,0.0,0.0,0,0,0,-0.0068609643419131,0,0.053489864
DB01472,4-Methoxyamphetamine,Methamphetamine hydrochloride,3,vNo-DILI-concern,0,0.0407229279134931,0.0895055440538364,0.0858987460782253,350,CC(CC1=CC=CC=C1)NC.Cl,"['ADRA1A', 'MAOA', 'MAOB']","['ADRA1A', 'MAOA', 'MAOB']",2.2588000000000004,185.69799999999998,1.0,1.0,12.03,3.0,3,0,0,0,0,0,0.0,0.0,0,0,0,0.0407229279134931,0,0.0069380202
