dilirank_name,norm_name,is_dili
Oxacillin sodium,oxacillin,1
Oxaliplatin,oxaliplatin,1
Oxandrolone,oxandrolone,1
Oxaprozin,oxaprozin,1
Oxcarbazepine,oxcarbazepine,1
Oxybutynin chloride,oxybutynin,1
Oxycodone hydrochloride,oxycodone,1
Oxymetholone,oxymetholone,1
Oxymorphone hydrochloride,oxymorphone,0
Oxyphenisatin,oxyphenisatin,1
Oxytocin,oxytocin,0
Paclitaxel,paclitaxel,1
Pafolacianine sodium,pafolacianine,0
Pafuraidine,pafuraidine,1
Palbociclib,palbociclib,1
Palifermin,palifermin,0
Palivizumab,palivizumab,0
Pamabrom,pamabrom,0
Pancrelipase,pancrelipase,0
Pancuronium bromide,pancuronium,0
Panitumumab,panitumumab,0
Pantoprazole sodium,pantoprazole,1
Papaverine hydrochloride,papaverine,1
Paromomycin sulfate,paromomycin,0
Paroxetine hydrochloride,paroxetine,1
Patiromer sorbitex calcium,patiromer sorbitex calcium,0
Patisiran sodium,patisiran,0
Pegademase bovine,pegademase bovine,0
Pegaspargase,pegaspargase,1
Pegcetacoplan,pegcetacoplan,0
Pegfilgrastim,pegfilgrastim,0
Peginterferon alfa-2b,peginterferon alfa-2b,1
Pemoline,pemoline,1
Penbutolol sulfate,penbutolol,0
Penicillamine,penicillamine,1
Penicillin g benzathine,penicillin g benzathine,1
Penicillin v potassium,penicillin v,0
Pentagastrin,pentagastrin,0
Pentamidine isethionate,pentamidine isethionate,1
Pentazocine lactate,pentazocine lactate,0
Pentetate calcium trisodium yb-169,pentetate calcium trisodium yb-169,0
Pentostatin,pentostatin,1
Perampanel,perampanel,0
Perflutren,perflutren,0
Perphenazine,perphenazine,1
Pexidartinib hydrochloride,pexidartinib,1
Phendimetrazine tartrate,phendimetrazine,0
Phenobarbital sodium,phenobarbital,1
Phenoxypropazine,phenoxypropazine,1
Phentermine resin complex,phentermine resin complex,1
Phentolamine mesylate,phentolamine,0
Physostigmine salicylate,physostigmine salicylate,0
Phytonadione,phytonadione,0
Piflufolastat f-18,piflufolastat f-18,0
Pimavanserin tartrate,pimavanserin,0
Pimozide,pimozide,0
Pindolol,pindolol,0
Pioglitazone hydrochloride,pioglitazone,1
Pipamazine,pipamazine,1
Pirfenidone,pirfenidone,1
Piroxicam,piroxicam,1
Pirprofen,pirprofen,1
Pitolisant hydrochloride,pitolisant,0
Plerixafor,plerixafor,0
Polidocanol,polidocanol,0
Polyethylene glycol 3350,polyethylene glycol 3350,0
Polymyxin b sulfate,polymyxin b,0
Pomalidomide,pomalidomide,1
Porfimer sodium,porfimer,0
Posaconazole,posaconazole,1
Pralnacasan,pralnacasan,1
Prasugrel hydrochloride,prasugrel,1
Pravastatin sodium,pravastatin,1
Prednisolone,prednisolone,1
Prednisone,prednisone,1
Pregabalin,pregabalin,1
Primaquine phosphate,primaquine,0
Primidone,primidone,0
Procainamide hydrochloride,procainamide,1
Procarbazine hydrochloride,procarbazine,1
Prochlorperazine maleate,prochlorperazine,1
Procyclidine hydrochloride,procyclidine,0
Promethazine hydrochloride,promethazine,1
Propafenone hydrochloride,propafenone,1
Propantheline bromide,propantheline,0
Propofol,propofol,1
Propoxyphene hydrochloride,propoxyphene,1
Propylthiouracil,propylthiouracil,1
Protamine sulfate,protamine,0
Protirelin,protirelin,0
Protriptyline hydrochloride,protriptyline,0
