drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size
DB04652,Corticosterone,Corticotropin,4,vNo-DILI-concern,0,0.0646534690156682,0.177299535498264,0.17066944152925823,611
DB04820,Nialamide,Nialamide,3,vMost-DILI-concern,1,-0.5824222955480198,0.1146196018084103,0.1973469899685497,355
DB04855,Dronedarone,Dronedarone hydrochloride,5,vMost-DILI-concern,1,-0.31944575806784525,0.0676736556615575,0.09896038320771483,602
DB04892,Phenserine,Phenelzine sulfate,3,vLess-DILI-concern,1,0.6953461284973982,0.23403573608417558,0.14855063461239365,352
DB04899,Nesiritide,Nesiritide,3,vNo-DILI-concern,0,-0.030367060816445305,0.0418287398531023,0.045218517611575575,444
DB04946,Iloperidone,Risperidone,3,vLess-DILI-concern,1,0.012892509273814554,0.036750963109971696,0.03519408117437888,471
DB05424,Canertinib,Ceritinib,3,vMost-DILI-concern,1,0.0012953307391921002,0.055384682476504896,0.055217884061380604,72
DB05667,Levoketoconazole,Ketoconazole,3,vMost-DILI-concern,1,-0.17179873185540576,0.10302985583173989,0.12719555535865035,481
DB06151,Acetylcysteine,Acetylcysteine,4,vNo-DILI-concern,0,-1.116526505782144,0.1836005675598949,0.26459023674595034,193
DB06176,Romidepsin,Romidepsin,6,vNo-DILI-concern,0,0.016923892083079334,0.0496122374772686,0.04763438552724368,332
DB06255,Incadronic acid,Aminocaproic acid,4,vNo-DILI-concern,0,0.4158095390237908,0.1225656766975351,0.09090459709284453,430
DB06262,Droxidopa,Droxidopa,5,vNo-DILI-concern,0,-0.054380016221758344,0.0681269313356162,0.07371889718667399,677
DB06408,Taribavirin,Ribavirin,3,vLess-DILI-concern,1,0.008206380539052607,0.0498232646158049,0.04867333549153391,271
DB06423,Endostatin,Pentostatin,4,vMost-DILI-concern,1,0.7474623775250085,0.2840590819149256,0.21241825765346403,431
DB06461,Squalamine,Mesalamine,3,vLess-DILI-concern,1,-0.25578378000377633,0.1357648729269896,0.1625849036552609,307
DB06589,Pazopanib,Pazopanib hydrochloride,7,vMost-DILI-concern,1,0.9001673411038961,0.29398791018538795,0.1865480255467277,767
DB07374,Anisomycin,Vancomycin hydrochloride,12,vLess-DILI-concern,1,0.05910329570750489,0.047646028763876504,0.03931355855703089,229
DB07919,Harmine,Thiamine hydrochloride,3,vNo-DILI-concern,0,-0.13607234873675797,0.045065299515678,0.056492749241694326,401
DB08437,Puromycin,Paromomycin sulfate,11,vNo-DILI-concern,0,0.06018723670067295,0.0457448778212174,0.03725494630796851,207
DB08868,Fingolimod,Fingolimod hydrochloride,3,vMost-DILI-concern,1,-0.01171567413252524,0.031495944199519205,0.032817708177489,444
DB08889,Carfilzomib,Carfilzomib,6,vMost-DILI-concern,1,0.020986010229835872,0.0243951544768478,0.021702397276902062,341
DB08896,Regorafenib,Regorafenib,14,vMost-DILI-concern,1,0.5530581609157462,0.4064725493082543,0.34654141225108553,1262
DB09006,Clinofibrate,Clofibrate,3,vLess-DILI-concern,1,0.6999215664214294,0.235817469643668,0.15799096579519273,386
DB09074,Olaparib,Olaparib,4,vLess-DILI-concern,1,0.3726371923970406,0.1034510409807991,0.07289189460844375,459
DB09185,Viloxazine,Viloxazine hydrochloride,4,vNo-DILI-concern,0,0.18105602289410636,0.0993307938056451,0.08498852183623365,576
DB09213,Dexibuprofen,Ibuprofen,5,vLess-DILI-concern,1,7.280382696030164,0.7758332233313541,0.37361175009022707,356
DB11093,Calcium citrate,Calcium acetate,16,vNo-DILI-concern,0,-0.8788607209870926,0.3374049995408438,0.40758223511382524,1842
DB11124,Racepinephrine,Epinephrine,4,vNo-DILI-concern,0,0.024204508221071227,0.0499660371507879,0.04691281421563121,470
DB11348,Calcium Phosphate,Calcium acetate,16,vNo-DILI-concern,0,-0.8788607209870926,0.3374049995408438,0.40758223511382524,1842
DB11693,Voclosporin,Voclosporin,3,vNo-DILI-concern,0,-0.01814565200188829,0.040216832072786896,0.04204327937509056,358
DB11718,Encorafenib,Regorafenib,9,vMost-DILI-concern,1,0.10961698734321144,0.10474845961410269,0.09155109311584278,934
DB11741,Famitinib,Dacomitinib,5,vLess-DILI-concern,1,0.734371602693186,0.2766451961277563,0.1885956317565485,474
