gene,dili_influence
AGO4,0.001419940503536277
AGPAT1,0.008712663291827525
AGPAT2,0.011456586553723846
AGPAT3,0.00742327982477251
AGPAT5,0.005610917815399933
AGPS,0.0026447773272380037
AGRN,0.012109893210579469
AGT,0.029622222278237607
AGTR1,0.0240150103366997
AGTRAP,0.001898591506728854
AGXT,0.0490590940982951
AGXT2,0.06020134230170158
AHCTF1,0.0014378955172755664
AHCY,0.012752123246216007
AHCYL1,0.013931776387806743
AHCYL2,0.012603882615086158
AHI1,0.055983944361408466
AHNAK,0.011008517235336168
AHR,0.17990016959084984
AHSA1,0.006719069374342164
AHSG,0.19419624305027275
AIF1,0.0006126704152252723
AIFM1,0.008352151776257529
AIFM2,0.0005530035438149706
AIMP1,0.00046560474018147947
AIMP2,0.0003246892185607512
AIP,0.02583380436218314
AJUBA,0.0009661296520873905
AK1,0.006137098927857861
AK2,0.006553998070118221
AK3,0.017150431478726687
AK4,0.006504016653875492
AK6,0.005865679007273779
AKAP1,0.004650594027856123
AKAP10,0.002570510424811494
AKAP11,0.0011096852381671516
AKAP12,0.0031247307028354973
AKAP13,0.006633755152076712
AKAP7,0.0022489808107138214
AKAP8,0.0003746000048358662
AKAP8L,0.00037424236272073946
AKAP9,0.0021312454905580247
AKIRIN2,0.0014969472631229607
AKR1A1,0.012388932834292123
AKR1B1,0.02084937477669713
AKR1B10,0.01993678637838275
AKR1C1,0.08226461207402694
AKR1C2,0.05496476631883534
AKR1C3,0.10812908495699622
AKR1C4,0.05534155158694399
AKR1D1,0.074946937571417
AKR7A2,0.0012581537811096424
AKR7A3,0.00055325065821116
AKT1,0.08582876079026386
AKT1S1,0.010959905139569171
AKT2,0.03809376275679769
AKT3,0.03695875325879562
AKTIP,0.0004363857676295274
ALAD,0.007894950447766499
ALAS1,0.016215937996696777
ALB,0.5072179554946542
ALCAM,0.000311269469285395
ALDH16A1,0.0026885053183615163
ALDH18A1,0.014386281614946626
ALDH1A1,0.09058318441912439
ALDH1A2,0.07765435278875847
ALDH1B1,0.03277551372864564
ALDH1L1,0.010692894637428167
ALDH2,0.04694991016744404
ALDH3A2,0.03571283134700792
ALDH3B1,0.01956735718406915
ALDH4A1,0.019047606794338538
ALDH5A1,0.003343578931677669
ALDH6A1,0.02292325199771798
ALDH7A1,0.03810926165067291
ALDH8A1,0.004132362778766079
ALDH9A1,0.0312875135346948
ALDOA,0.062480133845018875
ALDOB,0.199530299323546
ALDOC,0.058003175897188314
ALG1,0.0011864589147572405
ALG12,0.0005890338224628442
ALG13,0.0003833784967899145
ALG14,0.0003829428535418051
ALG2,0.0009827462222202746
ALG3,0.0010447305150019712
ALG5,0.0012784417127524896
ALG6,0.0013662880337435837
ALG8,0.00017267204700898402
ALG9,0.0003360624477703438
ALKBH1,0.0003947104746822613
ALKBH2,3.8071912628749355e-05
ALKBH3,0.0003859405583603739
ALKBH4,3.687492551770348e-05
ALKBH5,0.0008589728008181785
ALKBH6,3.683631303025039e-05
ALKBH7,3.652741313062564e-05
ALKBH8,6.874384345433361e-05
ALOX5,0.07631152607742762
ALOX5AP,0.006870998174448737
ALPK1,0.00041812095295143035
ALPL,0.0055350756385607715
ALS2,0.0008297257195259846
ALS2CL,0.00036938441265840105
ALYREF,0.003994928784491275
AMACR,0.0020487144287278792
AMBP,0.31968697169441007
AMBRA1,0.008516024880871775
AMDHD1,0.0013542800008305256
AMDHD2,0.0010230809380729863
AMER1,0.00438852329044994
AMFR,0.00964160106525612
AMMECR1,0.000706801649690767
AMOTL1,0.0038913504107647087
AMOTL2,0.0024993441731165594
AMPD2,0.010487362389642364
AMT,0.026206208402930028
AMY2B,0.003577262630904959
ANAPC1,0.0036284240121314086
ANAPC10,0.0036891507362919575
ANAPC11,0.0037382930988094165
ANAPC13,0.002867517418988092
ANAPC15,0.00305522330212421
ANAPC16,0.0030581209508120937
ANAPC2,0.0037477392276392307
ANAPC4,0.00420692365067746
ANAPC5,0.003749095817389958
ANAPC7,0.0035111158043535547
ANG,0.00035019777828453806
ANGPTL2,0.003665406491420892
ANGPTL3,0.0004018916811794185
ANGPTL4,0.0008046343320910934
ANGPTL8,0.0004168381677988681
ANKFY1,0.0003998281829324451
ANKLE2,0.00010992496475296622
ANKRA2,0.0006432709463056233
ANKRD27,0.0003138758473791426
ANKRD28,0.00045304776861976087
ANKRD44,0.00043485413611976496
ANKRD52,0.0003451329812156785
ANKRD54,0.0003916655209713351
ANKRD6,0.0006947737004693866
ANKRD9,0.0015618653199737363
ANKS3,0.0014364142418016453
ANKS6,0.0026389874497867016
ANKZF1,0.00028134738264732766
ANO5,0.0010320798634333348
ANP32A,0.0022844974557023725
ANP32E,0.00289987046590839
ANPEP,0.04752020313637865
ANXA1,0.01017092133502747
ANXA11,0.005084484955777159
ANXA2,0.06057182447577349
ANXA5,0.002509271674708262
ANXA6,0.006291130705838743
ANXA7,0.012557986947548524
AOC1,0.020720324220203108
AOC2,0.01596921385611695
AOC3,0.01681518466431071
AOX1,0.14970803548507977
AP1AR,0.002672210795508729
AP1B1,0.01630119568478212
AP1G1,0.015984495723701954
AP1G2,0.004868057518859254
AP1M1,0.012260709878016382
AP1S1,0.013513243319474068
AP1S2,0.005434452129609951
AP2A1,0.017953582905508306
AP2A2,0.013867958919138001
AP2B1,0.022210617982244295
AP2M1,0.01720433692321001
AP2S1,0.016162782747970297
AP3B1,0.0020369033365352437
AP3D1,0.0022208898200061127
AP3M1,0.002522597607693247
AP3M2,0.0017712083308989701
AP3S1,0.009230985140701904
AP3S2,0.009252468292449748
AP4B1,0.009390511379914316
AP4E1,0.008933683643249193
AP4M1,0.030197802675180893
AP5B1,0.008806064505683811
AP5M1,0.018137346364592487
AP5S1,0.008921799658079675
AP5Z1,0.008943509967966641
APAF1,0.0164500647998557
APBA1,0.004068094815100922
APBA3,0.002562404867165057
APBB1,0.009684552168317977
APBB1IP,0.005137697591816324
APBB2,0.003642651073060361
APBB3,0.002428997277373896
APC,0.013708072848656837
APCS,0.039718961947343354
APEH,0.0014528079137979433
APEX1,0.025155878282717755
APEX2,0.0010425627195120137
APH1A,0.007541056453425503
APH1B,0.0044982143183330105
API5,8.584679204218393e-05
APIP,0.004264189440698545
APLNR,0.010791375938939658
APLP2,0.002890495046667452
APOA1,0.474195965903989
APOA2,0.17304431473094176
APOA4,0.11257817532014945
APOA5,0.092030253619622
APOB,0.1500447074046493
APOBEC3C,0.00018534307428584633
APOBEC3F,0.0011304597131389634
APOBEC3G,0.002813777467034277
APOBR,0.004533374537025033
APOC1,0.11684522336845539
APOC2,0.10962625158019573
APOC3,0.1401794254832921
APOC4,0.05755362959701695
APOD,0.03468900947970607
APOE,0.37412624785169
APOF,0.04960851237188314
APOH,0.3039895833215993
APOL1,0.1003012439466319
APOM,0.11078917471001176
APOO,0.002958241585980064
APOOL,0.003389164799657172
APP,0.1448018092385699
APPBP2,0.005006408161221854
APPL1,0.008320221477277324
APPL2,0.0013141167179542604
APRT,0.028525086218404588
APTX,0.0028450883139337717
AQR,0.0025183035912193577
AR,0.029270339209853412
ARAF,0.010054565797684963
ARAP1,0.0006955761531777445
ARAP3,0.0012162790227808638
ARCN1,0.0011086203420619667
ARF1,0.015194574086700755
ARF3,0.0013705553278680566
ARF4,0.0013085911110751044
ARF5,0.00018591207952504144
ARF6,0.007236749316676221
ARFGAP1,0.00046653428885415766
ARFGAP2,0.0006036319743640801
ARFGAP3,0.0006053224432250838
ARFGEF1,0.000383216512531911
ARFIP1,0.0008280422885066438
ARFIP2,0.0010918265929986052
ARG1,0.17654513913931877
ARHGAP1,0.0014654003901989968
ARHGAP10,0.002879600142983841
ARHGAP12,0.0004946385527428355
ARHGAP17,0.0018285655536786464
ARHGAP21,0.0003103856824060695
ARHGAP24,0.00047046040523906883
ARHGAP26,0.0006800392252496734
ARHGAP29,0.0005080870825062393
ARHGAP32,0.000801788408458164
ARHGAP35,0.00425285100394056
ARHGAP5,0.0022613312836937062
ARHGDIA,0.0054724357754747524
ARHGDIB,0.003424728061935289
ARHGEF1,0.013086361928867868
ARHGEF11,0.007860234439880659
ARHGEF12,0.0174895667983301
ARHGEF18,0.001506805399095275
ARHGEF2,0.004442173593381014
ARHGEF25,0.00215447405470015
ARHGEF26,0.0002655836950883628
ARHGEF28,0.004514372055671572
ARHGEF6,0.008179447542298993
ARHGEF7,0.009417814517596886
ARHGEF9,0.001258470697574827
ARID1A,0.006836552005939275
ARID1B,0.005123680210784932
ARID2,0.004137713931416417
ARID3A,0.0005500431394048259
ARID4A,0.0030926928087189553
ARID4B,0.002967362137089875
ARIH1,0.00269234557349233
ARIH2,0.0007655933203363922
ARL1,0.000541870293019131
ARL13B,0.014947466683264889
ARL14EP,0.00021883159072312903
ARL2,0.0012640341890583127
ARL2BP,0.0002704345254822036
ARL3,0.0018540570108778558
ARL4C,0.0005282600831079335
ARL5B,0.0005629675751506816
ARL6IP1,0.00434462609549306
ARL8B,0.0002566046458849953
ARMC7,0.0017768962877845933
ARMC8,0.00010557718331577206
ARNT,0.18745809469004213
ARNTL,0.012476200318400755
ARNTL2,0.0010727565488775302
ARPC1A,0.0065527393059582805
ARPC1B,0.007690323819607636
ARPC2,0.007477945384749538
ARPC3,0.007828326590549573
ARPC4,0.007387104873341215
ARPC5,0.006921913175223595
ARPC5L,0.006533771045605153
ARPIN,0.0006603984597423783
ARPP19,0.0007425233610700227
ARRB1,0.02295862739834344
ARRB2,0.0276081630112935
ARRDC1,0.00043250951264817486
ARRDC3,0.0009179343583690614
ARSA,0.0029186266280640132
ARSB,0.004565002105160579
ARSG,0.0008281487503404535
ASAH1,0.007674286515299993
ASAP1,0.0056005849448323075
ASAP3,0.0006086901352297257
ASB1,0.00018691045757790424
ASB6,0.00018886968669297655
ASB7,0.0001790735411176148
ASB9,0.0010353198987805253
ASCC1,0.0003529583691861456
ASCC2,0.0003554313735916224
ASCC3,0.000356946487055712
ASF1A,0.002017947239021789
ASH1L,0.0002708032481051297
