gene,dili_influence
ATF2,0.012103933049450387
ATF3,0.007130722852620967
ATF4,0.027071463155856776
ATF5,0.000986473194005128
ATF6,0.011704560795543698
ATF6B,0.0061997485938107945
ATF7,0.003518748223217575
ATF7IP,0.0007562412363769528
ATF7IP2,0.00023826015787889665
ATG10,0.010393344149546364
ATG101,0.01224655697129704
ATG12,0.02547434357551938
ATG13,0.015003492118245056
ATG14,0.015436756983192903
ATG16L1,0.03028086928089508
ATG16L2,0.009423842903223527
ATG2A,0.003745134344386763
ATG2B,0.003349997023448232
ATG3,0.01832159805054313
ATG4A,0.0038571887289606203
ATG4B,0.009624138960199783
ATG4C,0.0028613134360415183
ATG4D,0.002907697132254395
ATG5,0.17579477581788067
ATG7,0.018017248974143668
ATG9A,0.0022037232492644796
ATIC,0.02439513206360875
ATL2,0.00019038468468124078
ATL3,0.0005602176049662471
ATM,0.02944945325783843
ATMIN,0.00037095712329925014
ATOX1,0.0915695693368361
ATP10D,0.002584028009053956
ATP11A,0.0025960683582743377
ATP11B,0.0005984521555994153
ATP11C,0.001234351370846838
ATP13A2,0.005452564027214356
ATP1A1,0.0022332920860914903
ATP1B1,0.002478309647968298
ATP1B2,0.002161398752444311
ATP1B3,0.0021530703134032855
ATP23,0.012490785060092734
ATP2A2,0.0013614295864382228
ATP2A3,0.0009481171530356949
ATP2B1,0.0011000520143531964
ATP2B2,0.00179837055657673
ATP2B4,0.0022462167023503165
ATP6AP1,0.0011671801408782495
ATP6AP2,0.002122661742578888
ATP6V0A1,0.0008231093997329842
ATP6V0A2,0.0017866399635729916
ATP6V0B,0.0009039281045824391
ATP6V0C,0.0012710370399059492
ATP6V0D1,0.000927294501663292
ATP6V0E1,0.0007392043614999598
ATP6V0E2,0.0005674259740074965
ATP6V1A,0.0008922127647702418
ATP6V1B2,0.0010388251063566665
ATP6V1C1,0.0008218747862916546
ATP6V1C2,0.0006853350557781569
ATP6V1D,0.0008607511277343315
ATP6V1E1,0.000893372943918923
ATP6V1F,0.0008940304634292894
ATP6V1G1,0.0008517455128425305
ATP6V1H,0.0008552325666167009
ATP7B,0.047321549944188204
ATP8B1,0.00932874544694987
ATP8B2,0.0012195137140964397
ATP8B4,0.0011914844397090713
ATPAF1,3.984416984289856e-05
ATPAF2,9.251492007431166e-05
ATR,0.00842580880842444
ATRIP,0.00838922604954661
ATRN,0.00023658640635809152
ATRX,0.002739354845157259
ATXN1,0.0029714547678711583
ATXN10,0.00022043927322439394
ATXN1L,0.0009863182610840653
ATXN2,0.00487009436555066
ATXN2L,0.002284378957062304
ATXN3,0.005912766165290397
ATXN7,0.003264926013755775
ATXN7L1,0.0003156359078869233
ATXN7L2,0.0008882747358005485
ATXN7L3,0.003377745363500437
AUH,0.005048555553852902
AUP1,0.0025035626103150467
AURKA,0.02269271812965205
AURKAIP1,0.0025271253370790104
AURKC,0.00038136303163992106
AUTS2,0.0007327571387649624
AVEN,0.0017842417258987372
AVPR1A,0.007018060233998317
AXIN1,0.01668460417359545
AXIN2,0.007954996006485188
AXL,0.00837084872240629
AZI2,0.0027895263310899975
AZIN1,0.004288339691284806
B2M,0.14227072403238405
B3GALT6,0.0001895302849126052
B3GAT1,0.00048769814915458967
B3GAT3,9.916715203356623e-05
B3GNT2,0.0009715066922387328
B4GALT1,0.0029730427957320245
B4GALT2,0.0026956957851353375
B4GALT3,0.0015891879785547116
B4GALT4,0.0009405919905106036
B4GALT7,0.00037734294431905673
B4GAT1,0.000397441115249095
